@RELATION PREDICCION 

@ATTRIBUTE local {real-madrid,barcelona,sevilla,levante,deportivo-la-coruna,celta-vigo,leganes,valencia,villarreal,alaves,getafe,real-sociedad,malaga,girona,atletico-madrid,espanyol,las-palmas,eibar,athletic-bilbao,real-betis}
@ATTRIBUTE visitante{real-madrid,barcelona,sevilla,levante,deportivo-la-coruna,leganes,celta-vigo,valencia,alaves,villarreal,getafe,real-sociedad,malaga,girona,atletico-madrid,espanyol,las-palmas,eibar,athletic-bilbao,real-betis} 
@ATTRIBUTE NN real 
@ATTRIBUTE VB real 
@ATTRIBUTE ADJ real 
@ATTRIBUTE gan real 
@ATTRIBUTE handicap real 
@ATTRIBUTE trepid real 
@ATTRIBUTE gol real 
@ATTRIBUTE victori real 
@ATTRIBUTE local2 real 
@ATTRIBUTE resultado {1,x,2} 

@data 
real-betis,leganes,0.40848213,0.12946428,0.18303572,1,0,0,3,1,3,1
levante,celta-vigo,0.43333334,0.19166666,0.15416667,0,0,1,7,2,1,2
alaves,sevilla,0.40123457,0.21296297,0.18518518,4,1,0,3,3,7,1
espanyol,athletic-bilbao,0.42655367,0.22316384,0.16949153,2,0,0,5,4,0,x
real-sociedad,barcelona,0.37238494,0.14016737,0.17154811,4,0,0,11,3,1,2
girona,las-palmas,0.47712418,0.21568628,0.15359478,7,2,0,3,2,0,1
real-madrid,villarreal,0.39698493,0.22613065,0.18090452,1,0,0,3,0,2,2
eibar,atletico-madrid,0.4347826,0.1865942,0.23188406,1,0,0,17,3,3,2
deportivo-la-coruna,valencia,0.3915547,0.17082533,0.13243762,5,0,0,5,4,0,2
getafe,malaga,0.37249285,0.2234957,0.1747851,1,0,0,3,0,1,1
eibar,malaga,0.34519574,0.22064057,0.19572954,3,0,0,1,3,2,x
alaves,leganes,0.4079602,0.20895523,0.19402985,0,0,0,3,0,1,x
real-madrid,deportivo-la-coruna,0.3807947,0.25496688,0.17218544,7,1,0,4,2,0,1
real,sociedad,0.37068966,0.22126436,0.1954023,6,0,0,6,1,1,2
real-betis,barcelona,0.41025642,0.2948718,0.14102565,0,0,0,2,1,0,2
espanyol,sevilla,0.33116883,0.26623377,0.12987013,0,0,0,4,1,2,2
atletico-madrid,girona,0.43290043,0.23809524,0.16883117,1,0,0,3,1,1,x
villarreal,levante,0.32,0.24,0.168,1,0,0,3,3,2,1
