@RELATION PREDICCION 

@ATTRIBUTE local {real-madrid,barcelona,sevilla,levante,deportivo-la-coruna,celta-vigo,leganes,valencia,villarreal,alaves,getafe,real-sociedad,malaga,girona,atletico-madrid,espanyol,las-palmas,eibar,athletic-bilbao,real-betis}
@ATTRIBUTE visitante{real-madrid,barcelona,sevilla,levante,deportivo-la-coruna,leganes,celta-vigo,valencia,alaves,villarreal,getafe,real-sociedad,malaga,girona,atletico-madrid,espanyol,las-palmas,eibar,athletic-bilbao,real-betis}
@ATTRIBUTE NN real 
@ATTRIBUTE VB real 
@ATTRIBUTE ADJ real 
@ATTRIBUTE resultado {1,x,2} 

@data 
real-betis,leganes,0.3838384,0.17437533,0.17171717,1
levante,celta-vigo,0.41925064,0.16989665,0.14534883,2
alaves,sevilla,0.406639,0.19686492,0.17381282,1
espanyol,athletic-bilbao,0.4047619,0.22186147,0.16233766,x
real-sociedad,barcelona,0.39954075,0.15614237,0.16800612,2
girona,las-palmas,0.43211335,0.21251476,0.17414404,1
real-madrid,villarreal,0.39295498,0.20078278,0.18238747,2
eibar,atletico-madrid,0.39879414,0.17398794,0.18518518,2
deportivo-la-coruna,valencia,0.39484397,0.17684306,0.18453188,2
getafe,malaga,0.40556425,0.1653605,0.169279,1
eibar-vs-malaga,0.38594705,0.1700611,0.17464359,x
alaves-vs-leganes,0.37037036,0.17912458,0.17037037,x
real-madrid-vs-deportivo-la-coruna,0.3947924,0.2104152,0.15059817,1
real-vs-sociedad,0.404835,0.16653876,0.16231772,2
real-betis-vs-barcelona,0.41067865,0.20459081,0.1482036,2
espanyol-vs-sevilla,0.39568967,0.20948276,0.18362069,2
atletico-madrid-vs-girona,0.40093023,0.20511627,0.17627907,x
villarreal-vs-levante,0.37572533,0.18907157,0.18230174,1
las-palmas-vs-valencia,0.4238683,0.18871252,0.16578484,1
getafe-vs-athletic-bilbao,0.40226987,0.1702396,0.16015132,x
las-palmas,malaga,0.38558352,0.19336385,0.18592678,1
getafe,leganes,0.3902316,0.17724068,0.17170191,x
espanyol,barcelona,0.39721116,0.18207172,0.18366534,x
girona,athletic-bilbao,0.42130065,0.14326108,0.18284637,1
atletico-madrid,valencia,0.41054502,0.22630332,0.1635071,1
eibar,sevilla,0.38707954,0.18366258,0.17458622,1
real-betis,villarreal,0.3919694,0.20586361,0.19439133,1
alaves,celta-vigo,0.40891913,0.20181406,0.18367347,1
levante,real-madrid,0.3958439,0.21490116,0.18144956,x
real-sociedad,deportivo-la-coruna,0.37761927,0.18056175,0.14712438,1
deportivo-la-coruna,real-betis,0.38387096,0.23333333,0.15913978,2
sevilla,girona,0.4276447,0.1756487,0.18163672,1
barcelona,getafe,0.3998906,0.19748358,0.16028446,x
celta-vigo,espanyol,0.42941177,0.15462185,0.16386555,x
valencia,levante,0.41510612,0.1897628,0.16604245,1
villarreal,alaves,0.3856638,0.17819284,0.18021202,2
malaga,atletico-madrid,0.36847103,0.20037986,0.14814815,2
leganes,eibar,0.38301414,0.22231473,0.14321399,2
real-madrid,real-sociedad,0.4125874,0.2016317,0.18006992,1
athletic-bilbao,las-palmas,0.377499,0.1858095,0.16934535,x
getafe,celta-vigo,0.0,0.0,0.0,1
real-sociedad,levante,0.41075918,0.19155355,0.15635999,1
atletico-madrid,athletic-bilbao,0.425656,0.19533528,0.14431487,1
espanyol,villarreal,0.39718688,0.19758874,0.16208975,x
