@RELATION PREDICCION 

@ATTRIBUTE local {real-madrid,barcelona,sevilla,levante,deportivo-la-coruna,celta-vigo,leganes,valencia,villarreal,alaves,getafe,real-sociedad,malaga,girona,atletico-madrid,espanyol,las-palmas,eibar,athletic-bilbao,real-betis}
@ATTRIBUTE visitante{real-madrid,barcelona,sevilla,levante,deportivo-la-coruna,leganes,celta-vigo,valencia,alaves,villarreal,getafe,real-sociedad,malaga,girona,atletico-madrid,espanyol,las-palmas,eibar,athletic-bilbao,real-betis}
@ATTRIBUTE NN real 
@ATTRIBUTE VB real 
@ATTRIBUTE ADJ real 
@ATTRIBUTE resultado {1,x,2} 

@data 
real-betis,leganes,0.4177215,0.17721519,0.20253165,1
real-betis,leganes,0.43703705,0.17037037,0.14074074,1
real-betis,leganes,0.3888889,0.08974359,0.2008547,1
levante,celta-vigo,0.44680852,0.29787233,0.17021276,2
levante,celta-vigo,0.36036035,0.21621622,0.10810811,2
levante,celta-vigo,0.5121951,0.12195122,0.19512194,2
alaves,sevilla,0.4027778,0.25,0.22222222,1
alaves,sevilla,0.44,0.13333334,0.2,1
alaves,sevilla,0.3898305,0.22033899,0.16949153,1
espanyol,athletic-bilbao,0.4017857,0.20535715,0.16964285,x
espanyol,athletic-bilbao,0.475,0.375,0.1,x
espanyol,athletic-bilbao,0.43564355,0.2029703,0.17821783,x
real-sociedad,barcelona,0.32217574,0.14225942,0.17991632,2
real-sociedad,barcelona,0.4071856,0.13173653,0.13772455,2
real-sociedad,barcelona,0.45833334,0.15277778,0.22222222,2
girona,las-palmas,0.47368422,0.21052632,0.18421052,1
girona,las-palmas,0.42424244,0.3939394,0.09090909,1
girona,las-palmas,0.49238577,0.18781726,0.14720812,1
real-madrid,villarreal,0.36842105,0.21052632,0.1754386,2
real-madrid,villarreal,0.4,0.26153848,0.16923077,2
real-madrid,villarreal,0.41558442,0.20779221,0.19480519,2
eibar,atletico-madrid,0.43571427,0.15714286,0.19285715,2
eibar,atletico-madrid,0.45408162,0.14285715,0.29081634,2
eibar,atletico-madrid,0.41666666,0.24537037,0.2037037,2
deportivo-la-coruna,valencia,0.4008439,0.2278481,0.16877638,2
deportivo-la-coruna,valencia,0.36231884,0.13043478,0.096618354,2
deportivo-la-coruna,valencia,0.45454547,0.09090909,0.116883114,2
getafe,malaga,0.4113924,0.18354431,0.18354431,1
getafe,malaga,0.33333334,0.24666667,0.16666667,1
getafe,malaga,0.36585367,0.29268292,0.17073171,1
eibar,malaga,0.3220339,0.16949153,0.3220339,x
eibar,malaga,0.37414965,0.21088435,0.17006803,x
eibar,malaga,0.29333332,0.28,0.16,x
alaves,leganes,0.40449437,0.20224719,0.15730338,x
alaves,leganes,0.35416666,0.25,0.25,x
alaves,leganes,0.453125,0.1875,0.203125,x
real-madrid,deportivo-la-coruna,0.39444444,0.23888889,0.17222223,1
real-madrid,deportivo-la-coruna,0.32098764,0.3580247,0.14814815,1
real-madrid,deportivo-la-coruna,0.46341464,0.12195122,0.19512194,1
real-sociedad,celta-vigo,0.38265306,0.21938775,0.19897959,2
real-sociedad,deportivo-la-coruna,0.36,0.18666667,0.2,2
real-sociedad,deportivo-la-coruna,0.35064936,0.25974026,0.18181819,2
real-betis,barcelona,0.3671875,0.359375,0.125,2
real-betis,barcelona,0.5483871,0.17741935,0.11290322,2
real-betis,barcelona,0.3409091,0.27272728,0.22727273,2
espanyol,sevilla,0.4722222,0.25,0.083333336,2
espanyol,sevilla,0.22950819,0.22950819,0.114754096,2
espanyol,sevilla,0.36842105,0.2982456,0.1754386,2
atletico-madrid,girona,0.41935483,0.2580645,0.14516129,x
atletico-madrid,girona,0.42424244,0.22727273,0.13636364,x
atletico-madrid,girona,0.44660193,0.2524272,0.19417475,x
villarreal,levante,0.30864197,0.24691358,0.14814815,1
villarreal,levante,0.36734694,0.26530612,0.20408164,1
villarreal,levante,0.30833334,0.225,0.16666667,1
las-palmas,valencia,0.52112675,0.112676054,0.18309858,1
las-palmas,valencia,0.46666667,0.18333334,0.13333334,1
las-palmas,valencia,0.44186047,0.27906978,0.18604651,1
getafe,athletic-bilbao,0.43137255,0.21568628,0.19607843,x
getafe,athletic-bilbao,0.5416667,0.22916667,0.14583333,x
getafe,athletic-bilbao,0.41666666,0.1875,0.1875,x
eibar,malaga,0.43975905,0.21686748,0.21686748,x
eibar,malaga,0.36206895,0.22413793,0.18965517,x
eibar,malaga,0.45454547,0.13636364,0.1590909,x
alaves,leganes,0.3448276,0.18965517,0.22413793,x
alaves,leganes,0.42857143,0.093877554,0.18367347,x
alaves,leganes,0.34234235,0.25225225,0.12612613,x
real-madrid,deportivo-la-coruna,0.48235294,0.25882354,0.11764706,1
real-madrid,deportivo-la-coruna,0.43209878,0.20987654,0.19753087,1
real-madrid,deportivo-la-coruna,0.3761062,0.22123894,0.17256637,1
real-sociedad,villarreal,0.36231884,0.1884058,0.19323671,2
real-sociedad,villarreal,0.3723404,0.15957446,0.15957446,2
real-sociedad,villarreal,0.36175114,0.29493088,0.17281106,2
real-betis,barcelona,0.47560975,0.15853658,0.20731707,2
real-betis,barcelona,0.41216215,0.0945946,0.2027027,2
real-betis,barcelona,0.47058824,0.27058825,0.11764706,2
